subject,status_file_exists,status,timestamp,output_directory,error_message,raw_content
00098,True,ERROR,2025-08-23 17:41:01.338414,/root/autodl-tmp/00098/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00098 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:01.338414
Output Directory: /root/autodl-tmp/00098/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00099,True,ERROR,2025-08-23 17:40:57.332436,/root/autodl-tmp/00099/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00099 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:57.332436
Output Directory: /root/autodl-tmp/00099/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00100,True,ERROR,2025-08-23 17:41:01.715316,/root/autodl-tmp/00100/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00100 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:01.715316
Output Directory: /root/autodl-tmp/00100/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00101,True,ERROR,2025-08-23 17:41:08.029010,/root/autodl-tmp/00101/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00101 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:08.029010
Output Directory: /root/autodl-tmp/00101/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00102,True,ERROR,2025-08-23 17:40:57.530878,/root/autodl-tmp/00102/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00102 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:57.530878
Output Directory: /root/autodl-tmp/00102/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00103,True,ERROR,2025-08-23 17:41:00.929894,/root/autodl-tmp/00103/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00103 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:00.929894
Output Directory: /root/autodl-tmp/00103/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00104,True,ERROR,2025-08-23 17:41:05.865342,/root/autodl-tmp/00104/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00104 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:05.865342
Output Directory: /root/autodl-tmp/00104/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00105,True,ERROR,2025-08-23 17:40:58.212691,/root/autodl-tmp/00105/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00105 - PTT Analysis Error
Timestamp: 2025-08-23 17:40:58.212691
Output Directory: /root/autodl-tmp/00105/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00106,True,ERROR,2025-08-23 17:41:02.835030,/root/autodl-tmp/00106/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00106 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:02.835030
Output Directory: /root/autodl-tmp/00106/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00107,True,ERROR,2025-08-23 17:41:02.009123,/root/autodl-tmp/00107/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00107 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:02.009123
Output Directory: /root/autodl-tmp/00107/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00108,True,ERROR,2025-08-23 17:41:02.109511,/root/autodl-tmp/00108/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00108 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:02.109511
Output Directory: /root/autodl-tmp/00108/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00109,True,ERROR,2025-08-23 17:41:07.826324,/root/autodl-tmp/00109/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00109 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:07.826324
Output Directory: /root/autodl-tmp/00109/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00110,True,ERROR,2025-08-23 17:41:06.518239,/root/autodl-tmp/00110/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00110 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:06.518239
Output Directory: /root/autodl-tmp/00110/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00111,True,ERROR,2025-08-23 17:41:08.315212,/root/autodl-tmp/00111/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00111 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:08.315212
Output Directory: /root/autodl-tmp/00111/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
00112,True,ERROR,2025-08-23 17:41:10.443543,/root/autodl-tmp/00112/ptt_bp_analysis_calibrated,No objects to concatenate,"Subject 00112 - PTT Analysis Error
Timestamp: 2025-08-23 17:41:10.443543
Output Directory: /root/autodl-tmp/00112/ptt_bp_analysis_calibrated
Status: ERROR
Error Message: No objects to concatenate
"
